0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:27:52 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:27:52 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:27:52 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:27:53 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:27:53 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:27:53 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:40 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6853
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:41 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6853
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:28:49 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:58 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6797
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:58 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:58 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:59 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:59 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
